 ,Price,Area,Avg_Price_Area,Location,Location Id,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
18,9300000,1078,8928.417794,Kharghar,146,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
19,9900000,1150,8928.417794,Kharghar,146,2,0,1,1,1,1,1,1,1,1,0,0,0,1,1
20,8000000,1150,8928.417794,Kharghar,146,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
21,9000000,1060,8928.417794,Kharghar,146,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1
22,4200000,680,8928.417794,Kharghar,146,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
23,28000000,2470,8928.417794,Kharghar,146,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1
24,40000000,2100,8928.417794,Kharghar,146,4,0,0,1,1,1,1,0,0,1,0,0,0,0,0
25,16000000,2200,8928.417794,Kharghar,146,4,0,1,1,1,1,1,1,1,1,1,0,0,1,1
26,17000000,2235,8928.417794,Kharghar,146,4,0,1,1,1,1,1,1,1,1,0,1,0,1,1
27,9500000,1025,8928.417794,Kharghar,146,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
28,9500000,950,8928.417794,Kharghar,146,2,0,1,1,1,1,1,0,1,1,0,0,0,1,1
29,7500000,895,8928.417794,Kharghar,146,2,0,0,1,1,1,1,0,0,1,0,0,0,1,0
30,8500000,1114,8928.417794,Kharghar,146,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1
31,13000000,1197,8928.417794,Kharghar,146,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1
32,13700000,1380,8928.417794,Kharghar,146,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1
33,8000000,1050,8928.417794,Kharghar,146,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0
34,10500000,1240,8928.417794,Kharghar,146,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
35,7700000,1110,8928.417794,Kharghar,146,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
36,7500000,1050,8928.417794,Kharghar,146,2,0,0,1,1,1,1,0,0,1,0,0,0,1,0
37,9000000,1160,8928.417794,Kharghar,146,2,0,1,1,1,1,1,0,1,1,1,0,1,1,1
38,6000000,555,8928.417794,Kharghar,146,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0
39,6200000,650,8928.417794,Kharghar,146,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
40,5000000,600,8928.417794,Kharghar,146,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0
41,6500000,650,8928.417794,Kharghar,146,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
42,5200000,700,8928.417794,Kharghar,146,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
43,4200000,646,8928.417794,Kharghar,146,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
44,5500000,560,8928.417794,Kharghar,146,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0
45,5500000,670,8928.417794,Kharghar,146,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1
46,6000000,740,8928.417794,Kharghar,146,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1
47,5500000,636,8928.417794,Kharghar,146,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
48,4200000,680,8928.417794,Kharghar,146,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
49,16500000,1635,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,0,1,1,0,0,0,1
50,11399999,1550,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,0,1,1,0,0,1,0
51,13500000,1500,8928.417794,Kharghar,146,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
52,22500000,1850,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,1,1,1,0,0,1,1
53,40000000,2100,8928.417794,Kharghar,146,4,0,1,1,1,1,1,1,1,1,0,0,0,0,1
54,5700000,610,8928.417794,Kharghar,146,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
55,4800000,655,8928.417794,Kharghar,146,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
56,4500000,660,8928.417794,Kharghar,146,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
57,4300000,650,8928.417794,Kharghar,146,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
58,4500000,680,8928.417794,Kharghar,146,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1
59,5300000,670,8928.417794,Kharghar,146,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1
60,4803000,655,8928.417794,Kharghar,146,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
61,13000000,1800,8928.417794,Kharghar,146,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
62,15500000,1645,8928.417794,Kharghar,146,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
63,13000000,1395,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
64,8500000,1150,8928.417794,Kharghar,146,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1
65,9400000,1200,8928.417794,Kharghar,146,2,0,1,1,1,1,1,1,1,0,1,0,0,1,1
66,4500000,615,8928.417794,Kharghar,146,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
67,5300000,670,8928.417794,Kharghar,146,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
68,6000000,765,8928.417794,Kharghar,146,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
69,5600000,650,8928.417794,Kharghar,146,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1
70,17500000,1760,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1
71,12000000,1415,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
72,15000000,1685,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,1,0,1,1,1,1,1
73,13000000,1800,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
74,16600000,1650,8928.417794,Kharghar,146,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
75,13000000,1395,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1
76,9400000,1200,8928.417794,Kharghar,146,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
77,5700000,650,8928.417794,Kharghar,146,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0
78,5500000,560,8928.417794,Kharghar,146,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0
79,6000000,765,8928.417794,Kharghar,146,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
80,5600000,650,8928.417794,Kharghar,146,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
81,4900000,655,8928.417794,Kharghar,146,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
82,13500000,1390,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
83,22000000,1590,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1
84,17500000,1760,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,1,0,0,0,1,1,1
85,17800000,1716,8928.417794,Kharghar,146,3,0,1,1,1,1,1,0,1,1,1,1,0,1,1
86,14000000,1680,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
87,7200000,1050,8928.417794,Kharghar,146,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1
88,7000000,1100,8928.417794,Kharghar,146,2,0,0,1,1,1,1,0,0,1,1,0,0,1,0
89,15000000,1635,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,0,1,1,0,1,0,1
90,10000000,1078,8928.417794,Kharghar,146,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
91,17500000,1760,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,1,0,1,0,0,1,1
92,11000000,1415,8928.417794,Kharghar,146,3,0,1,1,1,1,1,0,1,1,1,1,0,1,1
93,13000000,1800,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,1,1,1,0,0,1,1
94,12500000,1147,8928.417794,Kharghar,146,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
95,13000000,1197,8928.417794,Kharghar,146,2,0,1,1,1,1,1,1,0,1,1,0,0,0,1
96,15000000,1300,8928.417794,Kharghar,146,3,0,0,1,1,1,1,1,1,1,0,0,0,0,1
97,7500000,1050,8928.417794,Kharghar,146,2,0,0,1,1,1,1,0,0,0,0,0,0,1,0
98,9500000,1240,8928.417794,Kharghar,146,2,0,1,1,1,1,1,1,1,0,1,1,0,1,1
99,5500000,650,8928.417794,Kharghar,146,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0
100,5000000,600,8646.407485,Sector 20 Kharghar,141,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0
101,5000000,550,8928.417794,Kharghar,146,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
102,5500000,550,8928.417794,Kharghar,146,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
103,4200000,650,8928.417794,Kharghar,146,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0
104,4200000,646,8928.417794,Kharghar,146,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0
105,6000000,740,8928.417794,Kharghar,146,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
106,5000000,570,8928.417794,Kharghar,146,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
107,5500000,670,8928.417794,Kharghar,146,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1
108,4300000,640,8928.417794,Kharghar,146,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1
109,15500000,1700,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,1,1,0,0,1,1,1
110,11399999,1550,8928.417794,Kharghar,146,3,0,0,1,1,1,1,0,0,1,1,0,0,0,0
111,12000000,1530,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
112,16000000,1750,8928.417794,Kharghar,146,3,0,0,1,1,1,1,0,0,1,0,0,1,0,0
113,22000000,1590,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,1,1,0,1,0,1,1
114,11000000,1415,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
115,16600000,1650,8928.417794,Kharghar,146,3,0,1,1,1,1,1,0,1,1,0,0,1,1,1
116,14000000,1687,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1
117,8500000,1150,8928.417794,Kharghar,146,2,0,1,1,1,1,1,1,1,1,0,1,0,1,1
118,6000000,555,8928.417794,Kharghar,146,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
119,4900000,600,8928.417794,Kharghar,146,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0
120,4200000,646,8928.417794,Kharghar,146,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
121,4500000,650,8928.417794,Kharghar,146,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
122,4300000,640,8928.417794,Kharghar,146,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1
123,5500000,650,8928.417794,Kharghar,146,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0
124,13500000,1400,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,1,1,0,0,1,1,1
125,15000000,1780,8928.417794,Kharghar,146,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
126,14000000,1687,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,1,0,1,1,1,1,1
127,6900000,1100,8928.417794,Kharghar,146,2,0,0,1,1,1,1,0,0,1,1,0,0,0,0
128,8300000,1050,8928.417794,Kharghar,146,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
129,9000000,1160,8928.417794,Kharghar,146,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1
130,5100000,700,8928.417794,Kharghar,146,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0
131,5200000,625,8928.417794,Kharghar,146,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1
132,5500000,670,8928.417794,Kharghar,146,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1
133,5500000,550,8928.417794,Kharghar,146,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1
134,5400000,650,8928.417794,Kharghar,146,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
135,5300000,660,8928.417794,Kharghar,146,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
136,5500000,550,8928.417794,Kharghar,146,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1
137,5000000,570,8928.417794,Kharghar,146,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
138,14000000,1550,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
139,17100000,1760,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1
140,11800000,1475,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
141,6000000,759,8928.417794,Kharghar,146,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
142,4850000,600,8928.417794,Kharghar,146,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0
143,4500000,550,8928.417794,Kharghar,146,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0
144,4100000,620,8928.417794,Kharghar,146,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1
145,5000000,550,8928.417794,Kharghar,146,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
146,5500000,745,8928.417794,Kharghar,146,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0
147,4500000,580,8928.417794,Kharghar,146,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
148,5300000,670,8928.417794,Kharghar,146,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1
149,19000000,1845,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,1,1,1,0,0,1,1
150,13500000,1400,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
151,13600000,1680,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1
152,15500000,1645,8928.417794,Kharghar,146,3,0,1,1,1,1,1,0,1,1,0,0,1,1,1
153,16500000,1585,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
154,8600000,1350,8928.417794,Kharghar,146,2,0,0,1,1,1,1,0,0,1,1,0,0,0,0
155,10000000,1075,8928.417794,Kharghar,146,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
156,10500000,1155,8928.417794,Kharghar,146,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1
157,4700000,625,8928.417794,Kharghar,146,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1
158,6200000,720,8928.417794,Kharghar,146,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1
159,4500000,550,8928.417794,Kharghar,146,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
160,6900000,735,8928.417794,Kharghar,146,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1
161,4500000,580,8928.417794,Kharghar,146,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
162,10000000,1505,8928.417794,Kharghar,146,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0
163,13000000,1630,8928.417794,Kharghar,146,3,0,0,1,1,1,1,0,0,1,1,0,0,0,0
164,11000000,1550,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,0,1,1,0,0,1,0
165,13000000,1455,10182.95501,Sector 18 Kharghar,173,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0
166,10500000,1098,8928.417794,Kharghar,146,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1
167,13000000,1210,10915.65875,Sector 15 Kharghar,188,2,0,1,1,1,1,1,1,1,1,1,0,0,0,0
168,9500000,1000,8928.417794,Kharghar,146,2,0,1,1,1,1,1,0,1,1,0,0,0,1,1
169,4500000,550,8928.417794,Kharghar,146,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
170,13000000,1630,8928.417794,Kharghar,146,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0
171,13600000,1680,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
172,16200000,1650,8928.417794,Kharghar,146,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
173,15000000,1440,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
174,13200000,1370,8928.417794,Kharghar,146,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
175,7500000,1022,10182.95501,Sector 18 Kharghar,173,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0
176,9500000,1000,8928.417794,Kharghar,146,2,0,1,1,1,1,1,0,1,0,0,0,0,1,1
177,15000000,1760,8928.417794,Kharghar,146,3,0,1,1,1,0,1,1,1,0,0,0,0,1,1
178,7500000,1100,8928.417794,Kharghar,146,2,0,0,1,1,1,1,0,0,1,0,0,0,1,1
179,13000000,1550,8646.407485,Sector 20 Kharghar,141,3,0,1,1,1,1,1,1,1,1,0,0,0,0,1
180,16200000,1675,8928.417794,Kharghar,146,3,1,1,1,1,1,1,1,1,0,1,1,0,1,1
181,11000000,1060,8928.417794,Kharghar,146,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0
182,11600000,1150,8928.417794,Kharghar,146,2,0,1,1,1,0,1,1,1,0,1,1,0,1,1
183,5600000,670,8928.417794,Kharghar,146,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1
184,8000000,900,8928.417794,Kharghar,146,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1
185,9500000,1088,8928.417794,Kharghar,146,2,0,1,1,1,1,1,1,0,1,1,0,0,1,0
186,2018000,375,6828.483971,Dombivali,80,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
187,65000000,1200,54166.66667,Churchgate,407,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
188,45000000,1717,33710.3372,Prabhadevi,368,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0
189,16500000,750,16538.61272,Jogeshwari West,266,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
190,2375000,525,6212.023995,Kalyan East,64,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1
191,19500000,1200,16901.66032,Malad East,270,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
192,2000000,420,4788.714613,Virar East,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
193,2500000,540,4788.714613,Virar East,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,2250000,415,4788.714613,Virar East,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
195,2700000,650,5635.448286,Virar,52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
196,22000000,1100,15750.9045,Malad West,253,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
197,17000000,1105,17597.77893,Borivali East,284,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
198,43500000,2600,16901.66032,Malad East,270,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
199,4760000,700,9932.145622,Mira Road East,165,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
200,18100000,1296,18933.21018,Goregaon West,304,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
201,23800000,1638,18933.21018,Goregaon West,304,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
202,21200000,1465,18933.21018,Goregaon West,304,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
203,8600000,700,17597.77893,Borivali East,284,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
204,36500000,2030,18933.21018,Goregaon West,304,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
205,23700000,1450,15750.9045,Malad West,253,3,1,1,1,1,0,1,1,1,0,1,0,0,1,1
206,21400000,1100,15750.9045,Malad West,253,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
207,12500000,800,16043.41805,Kandivali West,258,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
208,18000000,1500,16043.41805,Kandivali West,258,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
209,13200000,1100,16043.41805,Kandivali West,258,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
210,35300000,1962,16043.41805,Kandivali West,258,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
211,15300000,950,17597.77893,Borivali East,284,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
212,25000000,1440,16043.41805,Kandivali West,258,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
213,13899999,1200,16043.41805,Kandivali West,258,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
214,33500000,1785,18190.04873,Borivali West,293,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
215,14500000,775,18933.21018,Goregaon West,304,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
216,9000000,765,16043.41805,Kandivali West,258,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
217,13500000,910,18933.21018,Goregaon West,304,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
218,9000000,640,18933.21018,Goregaon West,304,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
219,21600000,1264,16901.66032,Malad East,270,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
220,13700000,1056,16043.41805,Kandivali West,258,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
221,27799999,1810,17073.25595,Kandivali East,274,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
222,27900000,1656,18933.21018,Goregaon West,304,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
223,81600000,3888,18933.21018,Goregaon West,304,4,0,1,1,1,1,1,1,1,1,1,1,0,1,1
224,38600000,2030,18190.04873,Borivali West,293,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
225,17000000,1114,19676.86689,Andheri East,310,3,1,1,1,1,0,0,1,1,1,1,0,0,1,1
226,60100000,3585,18933.21018,Goregaon West,304,4,1,1,1,1,1,1,0,1,1,1,1,0,1,1
227,27900000,1404,19313.44181,Goregaon East,308,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
228,31500000,1620,19313.44181,Goregaon East,308,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
229,37500000,2780,16901.66032,Malad East,270,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1
230,31000000,1672,16901.66032,Malad East,270,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
231,21100000,1200,16901.66032,Malad East,270,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
232,16500000,1200,16901.66032,Malad East,270,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
233,16000000,1250,17597.77893,Borivali East,284,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
234,26000000,1840,17597.77893,Borivali East,284,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
235,15200000,1170,15750.9045,Malad West,253,2,0,1,1,1,0,1,1,1,1,1,0,0,1,1
236,2300000,310,8928.417794,Kharghar,146,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
237,33000000,1245,23986.3013,Wadala,346,3,0,1,1,1,0,1,1,1,1,1,0,1,1,1
238,29000000,1153,23986.3013,Wadala,346,3,0,1,1,1,0,1,1,1,1,1,0,1,1,1
240,9000000,1100,7588.956578,Ulwe,98,2,0,1,1,1,0,1,1,1,1,1,0,0,1,1
241,8500000,1135,7588.956578,Ulwe,98,2,0,1,1,1,0,1,1,1,1,0,1,0,1,1
242,9000000,1060,8928.417794,Kharghar,146,2,0,1,1,1,0,1,1,1,1,1,1,0,1,1
243,11500000,560,15750.9045,Malad West,253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,12100000,1150,17276.25173,Dahisar,280,2,1,1,1,1,0,1,1,0,1,0,0,0,1,1
245,11000000,1054,13002.25602,kandivali,210,2,1,1,1,1,0,1,1,1,0,1,0,0,1,1
246,27000000,1695,16864.58862,Goregaon,269,3,1,1,1,1,0,1,1,1,1,0,1,0,1,1
247,21600000,1579,16864.58862,Goregaon,269,3,1,1,1,1,0,1,1,1,0,1,1,0,1,1
248,30200000,2153,16864.58862,Goregaon,269,3,1,1,1,1,0,1,1,1,1,1,1,0,1,1
249,41200000,1872,16864.58862,Goregaon,269,4,1,1,1,1,0,1,1,1,1,1,0,0,1,1
250,30500000,1717,16864.58862,Goregaon,269,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1
251,36700000,1675,19313.44181,Goregaon East,308,4,1,1,1,1,1,1,1,1,1,1,0,0,1,1
252,23800000,1672,16901.66032,Malad East,270,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
253,20500000,1457,16901.66032,Malad East,270,3,1,1,1,1,0,1,0,0,0,1,0,0,0,1
254,5500000,425,16201.27306,Bhandup West,263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,9000000,560,16163.00366,thakur village kandivali east,261,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,32500000,1200,27083.33333,Santacruz West,376,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,8500000,575,21272.72727,Kanjurmarg,323,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1
258,9000000,400,17597.77893,Borivali East,284,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,2500000,300,17073.25595,Kandivali East,274,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
